iter	Passed	Remaining
460	794	928
461	795	926
462	796	924
463	798	922
464	799	919
465	800	917
466	802	915
467	803	913
468	804	910
469	805	908
470	806	906
471	808	904
472	809	902
473	810	899
474	812	898
475	814	896
476	815	894
477	817	892
478	818	890
479	820	888
480	823	888
481	825	886
482	826	884
483	828	882
484	829	880
485	831	878
486	832	877
487	834	875
488	835	873
489	836	871
490	838	869
491	839	867
492	841	865
493	842	863
494	843	860
495	845	859
496	847	858
497	849	856
498	851	854
499	852	852
500	854	851
501	856	849
502	857	847
503	859	845
504	860	843
505	862	841
506	863	840
507	865	837
508	866	835
509	867	833
510	869	831
511	870	829
512	872	827
513	873	825
514	875	824
515	876	822
516	877	820
517	879	818
518	880	816
519	882	814
520	884	812
521	885	810
522	886	808
523	888	806
524	889	805
525	891	803
526	892	801
527	894	799
528	895	797
529	897	795
530	898	793
531	900	791
532	901	789
533	902	787
534	904	785
535	905	783
536	906	781
537	908	779
538	909	778
539	912	777
540	914	776
541	916	774
542	917	772
543	919	770
544	920	768
545	922	766
546	923	764
547	924	762
548	926	760
549	927	758
550	928	756
551	929	754
552	931	752
553	932	750
554	933	748
555	934	746
556	936	745
557	938	743
558	939	741
559	940	739
560	942	737
561	943	735
562	944	733
563	945	731
564	947	729
565	948	727
566	950	725
567	951	723
568	952	721
569	954	719
570	955	717
571	957	716
572	958	714
573	959	712
574	961	710
575	962	708
576	964	707
577	966	705
578	967	703
579	968	701
580	970	699
581	972	698
582	974	696
583	976	695
584	980	695
585	982	694
586	984	692
587	985	690
588	987	689
589	989	687
590	991	686
591	993	684
592	995	683
593	997	681
594	999	680
595	1000	678
596	1003	677
597	1006	676
598	1008	675
599	1010	673
600	1011	671
601	1013	670
602	1014	668
603	1017	666
604	1018	665
605	1020	663
606	1022	661
607	1023	660
608	1025	658
609	1027	657
610	1029	655
611	1030	653
612	1032	651
613	1034	650
614	1036	648
615	1037	646
616	1039	645
617	1041	643
618	1042	641
619	1044	640
620	1047	639
621	1049	637
622	1051	636
623	1052	634
624	1054	632
625	1055	630
626	1057	628
627	1058	627
628	1060	625
629	1062	624
630	1065	622
631	1066	620
632	1068	619
